Word,Count,Positive TFIDF,Neutral TFIDF,Negative TFIDF
cumpaniis,1,1,1,1.002198019
cumputirizati,3,1.003779758,1.001365697,1
curnbiif,1,1,1.001546535,1
curtisdaluz,1,1,1.001201299,1
cuva,1,1,1.001221026,1
daang,2,1.003745386,1.001221026,1
dagat,1,1.003745386,1,1
dagh,5,1,1.001519636,1.001858998
daghang,5,1,1.001644415,1.002718145
dagkung,2,1,1.001201299,1.002198019
dakbay,2,1,1.001159025,1.002112417
daku,2,1,1.001395415,1
dakung,4,1,1.001448739,1.002163119
dali,1,1,1,1.002626029
daling,2,1,1.001298343,1
dangat,1,1,1.001365697,1
dapit,3,1,1.001438032,1.002354101
datu,1,1,1.001113892,1
daugthirs,1,1,1.001546535,1
dauthtirs,1,1,1.001314029,1
davau,2,1,1.001221026,1.002626029
dawat,2,1,1.001342224,1.002733761
dayung,1,1.004279492,1,1
dgar,1,1,1.001071835,1
diamanti,1,1,1.001081523,1
diay,9,1,1.001688887,1.004145957
didtu,5,1.003864076,1.001661639,1.00519409
dihang,5,1,1.001593315,1.002185022
diin,10,1.004920053,1.001788373,1.002214818
diklarar,5,1,1.001694481,1
diktadur,1,1,1,1.002010947
diktadurya,2,1,1.001221026,1.002112417
dili,27,1.005368932,1.003229444,1.005698432
dilus,2,1,1,1.002332198
dimukrasya,1,1,1.001159025,1
dinakp,1,1,1,1.002112417
dinhi,11,1.004713683,1.001738808,1.002899906
dinnis,1,1,1.001081523,1
dinr,1,1,1,1.00348205
dipindi,2,1,1.001990448,1
diritsu,1,1,1.001190802,1
disisy,1,1,1.001314029,1
dispirsi,1,1,1,1.0020334
disyimbri,1,1,1,1.002055349
diuns,2,1.003745386,1,1.002081289
diusnung,1,1,1.001221026,1
drugas,12,1.00412393,1.001826043,1.00412864
duardu,1,1,1.001081523,1
duaw,1,1,1.001314029,1
duda,1,1,1,1.001895716
dudung,1,1,1.001201299,1
dugay,6,1.003796724,1,1.002663491
dugu,2,1,1.001128542,1.002112417
duguk,1,1,1.001438032,1
duha,5,1,1.001498601,1.003726627
duminggu,1,1,1.001159025,1
dumingu,1,1,1.001112523,1
duna,5,1,1.001420444,1.002543881
dunay,7,1.003426329,1.001991596,1.002112417
dunggu,1,1,1,1.002259164
dunut,1,1,1.001546535,1
duria,2,1.003365577,1,1.002340689
durugista,1,1,1.001201299,1
dusu,1,1.003587132,1,1
dutirti,9,1,1.00169801,1.002552512
duul,2,1.003416705,1,1.0020334
duut,1,1,1.001221026,1
dyrf,1,1,1.001546535,1
facibuuk,3,1,1.001563564,1
factfinding,1,1,1.001148691,1
faild,12,1.003531743,1.002028226,1.002548841
fatima,2,1,1.001872044,1
fidil,1,1,1.001081523,1
filipinus,1,1.003365577,1,1
firdinand,3,1,1.00130883,1
firnandu,1,1,1.001221026,1
fixirs,1,1.003326479,1,1
francis,2,1,1.001398338,1
fuinti,1,1,1.001221026,1
gaani,1,1,1.001365697,1
gabut,1,1,1.001727373,1
gagad,2,1,1.001314029,1.001960236
galing,1,1.003440433,1,1
gamit,2,1,1.001511326,1
gbabag,1,1,1,1.0020334
gbabalaud,1,1,1,1.00291137
gbasi,1,1,1,1.002198019
gbat,1,1,1,1.00234826
gbinuang,1,1,1.001438032,1
gbuut,1,1,1.001438032,1
gdalu,1,1,1.001275278,1
gduda,1,1,1,1.002081289
ghangyu,1,1,1.001245138,1
ghatag,1,1.003745386,1,1
ghikutar,1,1.004279492,1,1
ghinamhinam,1,1,1,1.001925649
gimbistigar,1,1.004694908,1,1
giskwila,1,1.003531743,1,1
gkaatubang,1,1,1,1.002454825
gkabangi,1,1,1.001184859,1
gkansilar,1,1,1.001275278,1
glakip,2,1.003745386,1.001159025,1
glambigit,1,1,1.001438032,1
